qid,dbpedia_id,resource
Q254,33163,http://dbpedia.org/resource/Wolfgang_Amadeus_Mozart
Q130759,99636,http://dbpedia.org/resource/Christoph_Willibald_Gluck
Q364020,376771,http://dbpedia.org/resource/Étienne_Méhul
Q168485,261539,http://dbpedia.org/resource/Gaspare_Spontini
Q154203,354604,http://dbpedia.org/resource/Albert_Lortzing
Q80621,9514,http://dbpedia.org/resource/Edvard_Grieg
Q5362421,2232700,http://dbpedia.org/resource/Elizabeth_Billington
Q5719907,16816904,http://dbpedia.org/resource/Henry_Coward
Q368264,214042,http://dbpedia.org/resource/Charles_Villiers_Stanford
Q523581,324889,http://dbpedia.org/resource/François-Joseph_Fétis
Q597865,26367137,"http://dbpedia.org/resource/Nikolaus_II,_Prince_Esterházy"
Q314019,1141589,http://dbpedia.org/resource/Ignaz_Pleyel
Q674739,634561,http://dbpedia.org/resource/Alexander_Mackenzie_(composer)
Q240963,531849,http://dbpedia.org/resource/Giuditta_Pasta
Q1388550,312168,http://dbpedia.org/resource/John_Stainer
Q313152,192711,http://dbpedia.org/resource/William_Boyce_(composer)
Q201164,313380,http://dbpedia.org/resource/William_Sterndale_Bennett
Q191957,711408,http://dbpedia.org/resource/Ignacy_Jan_Paderewski
Q4693137,28964451,http://dbpedia.org/resource/Agnes_Zimmermann
Q2503633,194903,http://dbpedia.org/resource/Emma_Albani
Q461921,2444917,http://dbpedia.org/resource/Clara_Butt
Q1200639,2352782,http://dbpedia.org/resource/Henry_Bishop_(composer)
Q179631,10085,http://dbpedia.org/resource/Edward_Elgar
Q347871,530719,http://dbpedia.org/resource/Sigismond_Thalberg
Q4444837,43697436,http://dbpedia.org/resource/Robert_Prescott_Stewart
Q66075,21511,http://dbpedia.org/resource/Niccolò_Paganini
Q80513,600697,http://dbpedia.org/resource/Saint_Cecilia
Q189544,472353,http://dbpedia.org/resource/Adolphe_Adam
Q78938,15277235,http://dbpedia.org/resource/Wilma_Neruda
Q4164386,2843958,http://dbpedia.org/resource/Charlotte_Sainton-Dolby
Q4800330,1272951,http://dbpedia.org/resource/Arthur_Somervell
Q547002,214016,http://dbpedia.org/resource/Charles_Burney
Q11727869,9984016,http://dbpedia.org/resource/John_Christopher_Smith
Q212692,45280,http://dbpedia.org/resource/Arthur_Sullivan
Q132232,45181,http://dbpedia.org/resource/Clara_Schumann
Q362639,1247969,http://dbpedia.org/resource/Ferdinand_Hérold
Q1374708,2314058,http://dbpedia.org/resource/George_Alexander_Macfarren
Q510435,1958823,http://dbpedia.org/resource/Julius_Benedict
Q5566022,158003,http://dbpedia.org/resource/Joseph_Barnby
Q4766585,30363583,http://dbpedia.org/resource/Ann_Mounsey
