QID
Q254;13554433;1627522;33162;33163;1214475;2825494;17795991;23737625;4157087;11258147;15293478;842024;2290733;3865647;2290738;9643958;18690615;2339256;7291323;2640831;22359231;42819778;23736900;23736902;19799887;1184464;13268824;6553947;59013467;18790;32877;358005;57357431;14910329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q130759;8214402;23111059;30256025;4159147;16383408;99636;99637;16490823;30843720;2226377;398794;1447756;2151123;362966;10702552;602585;2980061;2980069;66555880;311785;14753643;574064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q191775;2423018;37943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q364020;639267;376771;376773;1663235;16405321;3955946;7430160;3822551;19621459;17381814;1834743;15303416;1815519;1222779;1102303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q109875;7244673;15457752;2230219;4082603;16553261;1550289;4039122;1835667;37268177;1550296;1365852;7951391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q168485;1103264;261539;6900776;5671735;29290647;5671737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q255;41687552;1378305;1282820;31439365;7252619;20815372;1052557;368913;1176850;2012690;11157653;42094359;2012710;28934570;2920107;69456300;1099188;2006325;2491581;502846;14732097;502850;183747;502857;10068170;8489932;219725;9763921;23010264;25973851;1442654;8489952;4141412;145637;10920934;9633769;23144554;31933547;2707442;69779574;10920951;17914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q154812;14063168;1660097;7280354;7280355;583204;11199329;45190;67941420;67857426;17668083;22868659;41403156;3008598;3011702;1564697;5777466;2062077;5777471;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q57226;254140;67591708;254135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q78798;62505992;328906;4917900;328911;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
